ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,71.212,1.394,0.069,-1.002,11.256
2026-02-25T00:10:00+00:00,70.106,1.382,0.065,-0.97,11.224
2026-02-25T00:15:00+00:00,70.756,1.36,0.061,-0.97,11.215
2026-02-25T00:20:00+00:00,71.116,1.394,0.057,-1.002,11.21
2026-02-25T00:25:00+00:00,70.12,1.367,0.053,-0.98,11.198
2026-02-25T00:30:00+00:00,70.498,1.368,0.053,-0.978,11.2
2026-02-25T00:35:00+00:00,70.399,1.365,0.057,-0.981,11.179
2026-02-25T00:40:00+00:00,70.32,1.354,0.087,-0.98,11.174
2026-02-25T00:45:00+00:00,70.86,1.351,0.103,-0.964,11.186
2026-02-25T00:50:00+00:00,71.368,1.361,0.089,-0.986,11.192
2026-02-25T00:55:00+00:00,71.483,1.369,0.092,-1.0,11.2
2026-02-25T01:00:00+00:00,70.936,1.385,0.095,-0.98,11.192
2026-02-25T01:05:00+00:00,70.41,1.367,0.097,-0.967,11.17
2026-02-25T01:10:00+00:00,70.652,1.348,0.085,-0.963,11.174
2026-02-25T01:15:00+00:00,70.048,1.354,0.088,-0.965,11.174
2026-02-25T01:20:00+00:00,70.004,1.338,0.087,-0.958,11.139
2026-02-25T01:25:00+00:00,71.14,1.345,0.08,-0.97,11.146
2026-02-25T01:30:00+00:00,70.825,1.356,0.072,-0.966,11.156
2026-02-25T01:35:00+00:00,70.398,1.36,0.066,-0.964,11.158
2026-02-25T01:40:00+00:00,70.018,1.359,0.068,-0.96,11.143
2026-02-25T01:45:00+00:00,69.824,1.346,0.072,-0.959,11.158
2026-02-25T01:50:00+00:00,70.436,1.362,0.076,-0.99,11.192
2026-02-25T01:55:00+00:00,69.973,1.362,0.079,-0.994,11.201
2026-02-25T02:00:00+00:00,70.548,1.362,0.075,-1.009,11.189
2026-02-25T02:05:00+00:00,70.489,1.372,0.066,-0.984,11.17
2026-02-25T02:10:00+00:00,70.414,1.355,0.057,-0.95,11.187
2026-02-25T02:15:00+00:00,70.906,1.374,0.056,-0.98,11.22
2026-02-25T02:20:00+00:00,70.779,1.364,0.067,-0.98,11.247
2026-02-25T02:25:00+00:00,70.844,1.372,0.058,-0.968,11.252
2026-02-25T02:30:00+00:00,70.882,1.364,0.049,-0.952,11.25
2026-02-25T02:35:00+00:00,70.883,1.364,0.047,-0.962,11.236
2026-02-25T02:40:00+00:00,69.825,1.353,0.081,-0.943,11.247
2026-02-25T02:45:00+00:00,70.582,1.352,0.079,-0.967,11.256
2026-02-25T02:50:00+00:00,70.428,1.358,0.074,-0.95,11.279
2026-02-25T02:55:00+00:00,70.912,1.358,0.069,-0.96,11.279
2026-02-25T03:00:00+00:00,71.397,1.358,0.064,-0.959,11.282
2026-02-25T03:05:00+00:00,71.224,1.37,0.059,-0.965,11.262
2026-02-25T03:10:00+00:00,70.601,1.366,0.073,-0.958,11.253
2026-02-25T03:15:00+00:00,70.092,1.366,0.071,-0.956,11.264
2026-02-25T03:20:00+00:00,69.642,1.358,0.064,-0.956,11.267
2026-02-25T03:25:00+00:00,70.072,1.352,0.079,-0.935,11.27
2026-02-25T03:30:00+00:00,70.14,1.352,0.077,-0.943,11.272
2026-02-25T03:35:00+00:00,70.254,1.356,0.075,-0.95,11.23
2026-02-25T03:40:00+00:00,70.56,1.355,0.074,-0.958,11.228
2026-02-25T03:45:00+00:00,70.477,1.349,0.072,-0.965,11.247
2026-02-25T03:50:00+00:00,70.498,1.347,0.07,-0.973,11.254
2026-02-25T03:55:00+00:00,70.99,1.36,0.069,-0.958,11.256
2026-02-25T04:00:00+00:00,71.067,1.356,0.068,-0.955,11.265
2026-02-25T04:05:00+00:00,71.476,1.369,0.066,-0.975,11.308
2026-02-25T04:10:00+00:00,71.064,1.376,0.063,-0.965,11.296
2026-02-25T04:15:00+00:00,71.602,1.378,0.062,-0.95,11.27
2026-02-25T04:20:00+00:00,71.116,1.365,0.06,-0.936,11.278
2026-02-25T04:25:00+00:00,71.17,1.357,0.059,-0.957,11.274
2026-02-25T04:30:00+00:00,71.684,1.358,0.057,-0.956,11.278
2026-02-25T04:35:00+00:00,72.074,1.358,0.055,-0.97,11.262
2026-02-25T04:40:00+00:00,71.959,1.374,0.053,-0.948,11.267
2026-02-25T04:45:00+00:00,71.191,1.366,0.051,-0.976,11.273
2026-02-25T04:50:00+00:00,70.936,1.372,0.05,-0.982,11.272
2026-02-25T04:55:00+00:00,70.265,1.372,0.048,-0.98,11.27
2026-02-25T05:00:00+00:00,71.201,1.39,0.047,-0.992,11.267
2026-02-25T05:05:00+00:00,72.656,1.414,0.045,-1.01,11.264
2026-02-25T05:10:00+00:00,73.27,1.422,0.043,-1.05,11.26
2026-02-25T05:15:00+00:00,73.241,1.426,0.041,-1.058,11.255
2026-02-25T05:20:00+00:00,74.635,1.453,0.04,-1.104,11.256
2026-02-25T05:25:00+00:00,76.837,1.495,0.038,-1.112,11.261
2026-02-25T05:30:00+00:00,77.396,1.493,0.036,-1.118,11.267
2026-02-25T05:35:00+00:00,77.5,1.506,0.046,-1.16,11.272
2026-02-25T05:40:00+00:00,77.686,1.509,0.057,-1.152,11.258
2026-02-25T05:45:00+00:00,78.078,1.502,0.048,-1.16,11.238
2026-02-25T05:50:00+00:00,79.244,1.541,0.055,-1.205,11.252
2026-02-25T05:55:00+00:00,80.395,1.567,0.052,-1.236,11.26
2026-02-25T06:00:00+00:00,81.48,1.587,0.041,-1.248,11.255
2026-02-25T06:05:00+00:00,82.592,1.604,0.017,-1.276,11.217
2026-02-25T06:10:00+00:00,82.029,1.587,0.035,-1.276,11.174
2026-02-25T06:15:00+00:00,83.97,1.612,0.03,-1.307,11.142
2026-02-25T06:20:00+00:00,85.394,1.636,-0.001,-1.34,11.128
2026-02-25T06:25:00+00:00,86.052,1.636,-0.019,-1.343,11.138
2026-02-25T06:30:00+00:00,88.206,1.68,-0.033,-1.391,11.122
2026-02-25T06:35:00+00:00,90.14,1.735,-0.006,-1.454,11.158
2026-02-25T06:40:00+00:00,90.58,1.762,-0.052,-1.477,11.158
2026-02-25T06:45:00+00:00,90.075,1.754,-0.152,-1.48,11.116
2026-02-25T06:50:00+00:00,83.962,1.621,-0.092,-1.499,11.144
2026-02-25T06:55:00+00:00,81.816,1.578,-0.026,-1.508,11.141
2026-02-25T07:00:00+00:00,83.197,1.604,-0.043,-1.534,11.154
2026-02-25T07:05:00+00:00,85.28,1.642,-0.039,-1.588,11.154
2026-02-25T07:10:00+00:00,89.319,1.724,-0.042,-1.654,11.142
2026-02-25T07:15:00+00:00,89.727,1.74,-0.06,-1.664,11.148
2026-02-25T07:20:00+00:00,92.696,1.794,-0.065,-1.722,11.164
2026-02-25T07:25:00+00:00,93.49,1.81,-0.042,-1.742,11.188
2026-02-25T07:30:00+00:00,93.41,1.812,-0.057,-1.744,11.206
2026-02-25T07:35:00+00:00,94.176,1.828,-0.056,-1.748,11.188
2026-02-25T07:40:00+00:00,100.918,1.952,-0.094,-1.89,11.17
2026-02-25T07:45:00+00:00,99.806,1.948,-0.1,-1.864,11.178
2026-02-25T07:50:00+00:00,100.516,1.942,-0.098,-1.886,11.164
2026-02-25T07:55:00+00:00,100.239,1.942,-0.097,-1.884,11.157
2026-02-25T08:00:00+00:00,102.138,1.974,-0.086,-1.912,11.205
2026-02-25T08:05:00+00:00,105.45,2.031,-0.12,-1.974,11.188
2026-02-25T08:10:00+00:00,111.131,2.15,-0.114,-2.093,11.184
2026-02-25T08:15:00+00:00,108.728,2.118,-0.105,-2.048,11.201
2026-02-25T08:20:00+00:00,108.532,2.117,-0.096,-2.047,11.201
2026-02-25T08:25:00+00:00,106.606,2.074,-0.088,-2.002,11.196
2026-02-25T08:30:00+00:00,107.567,2.078,-0.092,-2.034,11.214
2026-02-25T08:35:00+00:00,106.486,2.072,-0.073,-1.998,11.232
2026-02-25T08:40:00+00:00,109.298,2.116,-0.084,-2.069,11.194
2026-02-25T08:45:00+00:00,110.154,2.131,-0.104,-2.072,11.184
2026-02-25T08:50:00+00:00,109.817,2.131,-0.103,-2.068,11.186
2026-02-25T08:55:00+00:00,110.804,2.14,-0.107,-2.083,11.166
2026-02-25T09:00:00+00:00,111.556,2.153,-0.113,-2.094,11.165
2026-02-25T09:05:00+00:00,114.098,2.211,-0.131,-2.153,11.196
2026-02-25T09:10:00+00:00,116.792,2.263,-0.106,-2.192,11.168
2026-02-25T09:15:00+00:00,115.21,2.227,-0.09,-2.173,11.146
2026-02-25T09:20:00+00:00,114.999,2.218,-0.079,-2.173,11.186
2026-02-25T09:25:00+00:00,114.732,2.226,-0.068,-2.17,11.215
2026-02-25T09:30:00+00:00,112.48,2.182,-0.112,-2.122,11.191
2026-02-25T09:35:00+00:00,113.15,2.192,-0.114,-2.141,11.19
2026-02-25T09:40:00+00:00,113.776,2.204,-0.134,-2.144,11.195
2026-02-25T09:45:00+00:00,115.269,2.242,-0.132,-2.19,11.221
2026-02-25T09:50:00+00:00,115.944,2.26,-0.148,-2.2,11.224
2026-02-25T09:55:00+00:00,114.958,2.242,-0.128,-2.178,11.25
2026-02-25T10:00:00+00:00,111.64,2.184,-0.088,-2.125,11.266
2026-02-25T10:05:00+00:00,113.755,2.206,-0.087,-2.154,11.212
2026-02-25T10:10:00+00:00,114.758,2.224,-0.076,-2.162,11.208
2026-02-25T10:15:00+00:00,114.464,2.223,-0.096,-2.158,11.208
2026-02-25T10:20:00+00:00,115.498,2.243,-0.095,-2.184,11.211
2026-02-25T10:25:00+00:00,113.158,2.198,-0.093,-2.13,11.2
2026-02-25T10:30:00+00:00,115.771,2.252,-0.135,-2.192,11.221
2026-02-25T10:35:00+00:00,114.655,2.223,-0.115,-2.16,11.206
2026-02-25T10:40:00+00:00,119.914,2.322,-0.14,-2.26,11.177
2026-02-25T10:45:00+00:00,121.33,2.343,-0.137,-2.286,11.175
2026-02-25T10:50:00+00:00,120.955,2.346,-0.15,-2.287,11.196
2026-02-25T10:55:00+00:00,114.932,2.237,-0.132,-2.174,11.249
2026-02-25T11:00:00+00:00,114.076,2.224,-0.128,-2.164,11.254
2026-02-25T11:05:00+00:00,118.592,2.308,-0.136,-2.249,11.238
2026-02-25T11:10:00+00:00,119.16,2.324,-0.155,-2.246,11.218
2026-02-25T11:15:00+00:00,119.262,2.304,-0.126,-2.245,11.142
2026-02-25T11:20:00+00:00,117.741,2.271,-0.119,-2.203,11.128
2026-02-25T11:25:00+00:00,117.529,2.267,-0.157,-2.21,11.141
2026-02-25T11:30:00+00:00,115.631,2.241,-0.124,-2.178,11.194
2026-02-25T11:35:00+00:00,118.683,2.302,-0.17,-2.246,11.213
2026-02-25T11:40:00+00:00,121.458,2.355,-0.156,-2.296,11.221
2026-02-25T11:45:00+00:00,119.286,2.326,-0.148,-2.27,11.227
2026-02-25T11:50:00+00:00,122.614,2.384,-0.158,-2.327,11.213
2026-02-25T11:55:00+00:00,119.474,2.325,-0.146,-2.258,11.213
2026-02-25T12:00:00+00:00,117.66,2.285,-0.134,-2.226,11.21
2026-02-25T12:05:00+00:00,119.864,2.326,-0.152,-2.278,11.208
2026-02-25T12:10:00+00:00,119.462,2.321,-0.141,-2.266,11.205
2026-02-25T12:15:00+00:00,117.402,2.284,-0.149,-2.222,11.204
2026-02-25T12:20:00+00:00,118.531,2.3,-0.142,-2.243,11.203
2026-02-25T12:25:00+00:00,113.997,2.21,-0.118,-2.144,11.177
2026-02-25T12:30:00+00:00,114.978,2.226,-0.112,-2.165,11.164
2026-02-25T12:35:00+00:00,119.156,2.302,-0.12,-2.252,11.151
2026-02-25T12:40:00+00:00,117.678,2.274,-0.14,-2.208,11.155
2026-02-25T12:45:00+00:00,116.112,2.246,-0.124,-2.192,11.172
2026-02-25T12:50:00+00:00,114.049,2.196,-0.053,-2.14,11.142
2026-02-25T12:55:00+00:00,112.206,2.168,-0.07,-2.114,11.132
2026-02-25T13:00:00+00:00,112.666,2.17,-0.07,-2.11,11.13
2026-02-25T13:05:00+00:00,115.91,2.236,-0.094,-2.179,11.154
2026-02-25T13:10:00+00:00,116.516,2.264,-0.112,-2.198,11.221
2026-02-25T13:15:00+00:00,114.27,2.222,-0.089,-2.158,11.235
2026-02-25T13:20:00+00:00,110.914,2.157,-0.103,-2.099,11.241
2026-02-25T13:25:00+00:00,112.911,2.202,-0.103,-2.131,11.244
2026-02-25T13:30:00+00:00,112.603,2.19,-0.12,-2.131,11.252
2026-02-25T13:35:00+00:00,119.708,2.324,-0.138,-2.272,11.244
2026-02-25T13:40:00+00:00,115.057,2.242,-0.105,-2.178,11.228
2026-02-25T13:45:00+00:00,113.13,2.205,-0.088,-2.138,11.22
2026-02-25T13:50:00+00:00,108.73,2.114,-0.084,-2.053,11.227
2026-02-25T13:55:00+00:00,106.414,2.088,-0.078,-2.018,11.26
2026-02-25T14:00:00+00:00,104.746,2.045,-0.091,-1.986,11.254
2026-02-25T14:05:00+00:00,102.488,1.994,-0.103,-1.926,11.242
2026-02-25T14:10:00+00:00,108.162,2.096,-0.111,-2.048,11.242
2026-02-25T14:15:00+00:00,110.314,2.146,-0.111,-2.096,11.243
2026-02-25T14:20:00+00:00,111.266,2.165,-0.112,-2.106,11.231
2026-02-25T14:25:00+00:00,109.313,2.128,-0.099,-2.066,11.241
2026-02-25T14:30:00+00:00,108.206,2.115,-0.107,-2.048,11.253
2026-02-25T14:35:00+00:00,108.661,2.11,-0.126,-2.046,11.236
2026-02-25T14:40:00+00:00,109.202,2.126,-0.131,-2.057,11.23
2026-02-25T14:45:00+00:00,111.386,2.17,-0.134,-2.104,11.226
2026-02-25T14:50:00+00:00,110.866,2.163,-0.1,-2.092,11.268
2026-02-25T14:55:00+00:00,108.843,2.132,-0.13,-2.056,11.29
2026-02-25T15:00:00+00:00,107.464,2.12,-0.134,-2.032,11.332
2026-02-25T15:05:00+00:00,108.004,2.118,-0.13,-2.05,11.342
2026-02-25T15:10:00+00:00,108.94,2.144,-0.149,-2.082,11.377
2026-02-25T15:15:00+00:00,111.974,2.212,-0.144,-2.145,11.356
2026-02-25T15:20:00+00:00,109.913,2.168,-0.126,-2.086,11.366
2026-02-25T15:25:00+00:00,111.036,2.188,-0.15,-2.123,11.362
2026-02-25T15:30:00+00:00,108.11,2.138,-0.132,-2.062,11.369
2026-02-25T15:35:00+00:00,108.081,2.121,-0.126,-2.057,11.353
2026-02-25T15:40:00+00:00,107.405,2.112,-0.113,-2.05,11.348
2026-02-25T15:45:00+00:00,110.461,2.169,-0.115,-2.103,11.358
2026-02-25T15:50:00+00:00,108.294,2.125,-0.082,-2.072,11.343
2026-02-25T15:55:00+00:00,106.89,2.1,-0.063,-2.048,11.327
2026-02-25T16:00:00+00:00,104.78,2.054,-0.051,-1.982,11.278
2026-02-25T16:05:00+00:00,103.179,2.019,-0.066,-1.961,11.274
2026-02-25T16:10:00+00:00,105.277,2.058,-0.058,-1.992,11.242
2026-02-25T16:15:00+00:00,103.642,2.018,-0.026,-1.955,11.252
2026-02-25T16:20:00+00:00,103.088,2.015,-0.038,-1.95,11.254
2026-02-25T16:25:00+00:00,99.496,1.945,0.013,-1.88,11.239
2026-02-25T16:30:00+00:00,96.592,1.88,-0.002,-1.818,11.221
2026-02-25T16:35:00+00:00,96.32,1.879,0.019,-1.822,11.218
2026-02-25T16:40:00+00:00,100.432,1.949,0.019,-1.88,11.242
2026-02-25T16:45:00+00:00,99.958,1.944,-0.016,-1.878,11.217
2026-02-25T16:50:00+00:00,98.453,1.915,-0.008,-1.852,11.206
2026-02-25T16:55:00+00:00,96.623,1.868,0.032,-1.825,11.168
2026-02-25T17:00:00+00:00,97.948,1.886,0.04,-1.824,11.146
2026-02-25T17:05:00+00:00,98.544,1.905,0.04,-1.838,11.147
2026-02-25T17:10:00+00:00,100.418,1.942,0.019,-1.874,11.153
2026-02-25T17:15:00+00:00,96.786,1.884,0.03,-1.812,11.184
2026-02-25T17:20:00+00:00,95.494,1.856,0.036,-1.783,11.211
2026-02-25T17:25:00+00:00,90.872,1.775,0.042,-1.695,11.205
2026-02-25T17:30:00+00:00,89.554,1.726,0.047,-1.666,11.202
2026-02-25T17:35:00+00:00,88.402,1.712,0.062,-1.644,11.188
2026-02-25T17:40:00+00:00,85.686,1.648,0.056,-1.572,11.167
2026-02-25T17:45:00+00:00,86.57,1.674,0.051,-1.59,11.16
2026-02-25T17:50:00+00:00,89.026,1.72,0.031,-1.647,11.15
2026-02-25T17:55:00+00:00,91.08,1.75,0.051,-1.696,11.167
2026-02-25T18:00:00+00:00,91.643,1.777,0.036,-1.725,11.163
2026-02-25T18:05:00+00:00,90.396,1.747,0.058,-1.68,11.166
2026-02-25T18:10:00+00:00,89.634,1.738,0.045,-1.66,11.177
2026-02-25T18:15:00+00:00,87.721,1.693,0.058,-1.625,11.173
2026-02-25T18:20:00+00:00,86.992,1.683,0.057,-1.602,11.172
2026-02-25T18:25:00+00:00,90.076,1.75,0.05,-1.673,11.176
2026-02-25T18:30:00+00:00,88.534,1.727,0.044,-1.659,11.216
2026-02-25T18:35:00+00:00,90.094,1.756,0.04,-1.69,11.246
2026-02-25T18:40:00+00:00,89.865,1.75,0.046,-1.676,11.252
2026-02-25T18:45:00+00:00,88.868,1.714,0.045,-1.657,11.256
2026-02-25T18:50:00+00:00,88.82,1.738,0.034,-1.657,11.268
2026-02-25T18:55:00+00:00,88.69,1.746,0.023,-1.661,11.275
2026-02-25T19:00:00+00:00,89.228,1.752,0.011,-1.684,11.29
2026-02-25T19:05:00+00:00,86.662,1.703,0.031,-1.614,11.262
2026-02-25T19:10:00+00:00,84.707,1.65,0.045,-1.572,11.247
2026-02-25T19:15:00+00:00,81.768,1.604,0.056,-1.53,11.26
2026-02-25T19:20:00+00:00,80.702,1.571,0.061,-1.498,11.267
2026-02-25T19:25:00+00:00,84.86,1.652,0.066,-1.582,11.266
2026-02-25T19:30:00+00:00,85.356,1.674,0.07,-1.612,11.268
2026-02-25T19:35:00+00:00,84.725,1.654,0.075,-1.586,11.277
2026-02-25T19:40:00+00:00,84.69,1.654,0.081,-1.579,11.276
2026-02-25T19:45:00+00:00,80.485,1.576,0.085,-1.5,11.272
2026-02-25T19:50:00+00:00,84.076,1.612,0.086,-1.548,11.171
2026-02-25T19:55:00+00:00,85.438,1.653,0.07,-1.58,11.202
2026-02-25T20:00:00+00:00,85.85,1.672,0.062,-1.6,11.212
2026-02-25T20:05:00+00:00,83.244,1.631,0.058,-1.552,11.268
2026-02-25T20:10:00+00:00,81.686,1.594,0.042,-1.535,11.281
2026-02-25T20:15:00+00:00,78.588,1.542,0.032,-1.461,11.277
2026-02-25T20:20:00+00:00,80.375,1.564,0.032,-1.49,11.281
2026-02-25T20:25:00+00:00,79.501,1.576,0.051,-1.473,11.291
2026-02-25T20:30:00+00:00,79.444,1.556,0.04,-1.47,11.286
2026-02-25T20:35:00+00:00,79.254,1.546,0.036,-1.463,11.276
2026-02-25T20:40:00+00:00,77.107,1.507,0.032,-1.432,11.288
2026-02-25T20:45:00+00:00,77.216,1.51,0.046,-1.428,11.297
2026-02-25T20:50:00+00:00,74.287,1.468,0.071,-1.373,11.31
2026-02-25T20:55:00+00:00,71.762,1.395,0.096,-1.3,11.285
2026-02-25T21:00:00+00:00,72.565,1.407,0.121,-1.33,11.253
2026-02-25T21:05:00+00:00,72.781,1.427,0.146,-1.348,11.253
2026-02-25T21:10:00+00:00,72.212,1.414,0.17,-1.304,11.262
2026-02-25T21:15:00+00:00,72.868,1.425,0.194,-1.328,11.281
2026-02-25T21:20:00+00:00,71.303,1.395,0.22,-1.302,11.289
2026-02-25T21:25:00+00:00,69.302,1.358,0.244,-1.269,11.311
2026-02-25T21:30:00+00:00,70.732,1.383,0.256,-1.288,11.334
2026-02-25T21:35:00+00:00,74.474,1.462,0.116,-1.302,11.41
2026-02-25T21:40:00+00:00,81.67,1.612,0.049,-1.276,11.394
2026-02-25T21:45:00+00:00,80.686,1.583,0.027,-1.246,11.336
2026-02-25T21:50:00+00:00,78.798,1.546,0.055,-1.19,11.363
2026-02-25T21:55:00+00:00,79.206,1.55,0.053,-1.206,11.364
2026-02-25T22:00:00+00:00,79.386,1.572,0.045,-1.212,11.374
2026-02-25T22:05:00+00:00,78.18,1.579,0.037,-1.204,11.381
2026-02-25T22:10:00+00:00,77.777,1.547,0.028,-1.177,11.376
2026-02-25T22:15:00+00:00,77.744,1.547,0.021,-1.184,11.33
2026-02-25T22:20:00+00:00,77.368,1.512,0.013,-1.167,11.32
2026-02-25T22:25:00+00:00,76.324,1.5,0.025,-1.127,11.334
2026-02-25T22:30:00+00:00,75.985,1.51,0.009,-1.129,11.348
2026-02-25T22:35:00+00:00,75.854,1.512,0.038,-1.124,11.361
2026-02-25T22:40:00+00:00,75.636,1.501,0.06,-1.117,11.356
2026-02-25T22:45:00+00:00,76.246,1.509,0.064,-1.129,11.382
2026-02-25T22:50:00+00:00,75.117,1.474,0.064,-1.107,11.201
2026-02-25T22:55:00+00:00,74.573,1.458,0.052,-1.1,11.184
2026-02-25T23:00:00+00:00,74.564,1.459,0.04,-1.086,11.177
2026-02-25T23:05:00+00:00,74.098,1.436,0.051,-1.077,11.157
2026-02-25T23:10:00+00:00,74.166,1.423,0.047,-1.058,11.206
2026-02-25T23:15:00+00:00,74.515,1.434,0.06,-1.058,11.218
2026-02-25T23:20:00+00:00,73.368,1.418,0.054,-1.05,11.184
2026-02-25T23:25:00+00:00,72.986,1.405,0.044,-1.055,11.148
2026-02-25T23:30:00+00:00,72.975,1.408,0.027,-1.055,11.124
2026-02-25T23:35:00+00:00,72.972,1.408,-0.006,-1.062,11.134
2026-02-25T23:40:00+00:00,72.558,1.414,-0.017,-1.064,11.137
2026-02-25T23:45:00+00:00,71.59,1.412,-0.036,-1.042,11.134
2026-02-25T23:50:00+00:00,71.774,1.418,-0.062,-1.042,11.138
2026-02-25T23:55:00+00:00,71.282,1.409,-0.072,-1.022,11.162
2026-02-26T00:00:00+00:00,71.352,1.403,-0.081,-1.008,11.17
2026-02-26T00:05:00+00:00,70.393,1.39,-0.027,-1.001,11.151
2026-02-26T00:10:00+00:00,68.311,1.39,0.029,-1.027,11.112
2026-02-26T00:15:00+00:00,66.423,1.369,0.083,-0.991,11.109
2026-02-26T00:20:00+00:00,72.666,1.408,0.092,-1.037,11.183
2026-02-26T00:25:00+00:00,72.484,1.41,0.082,-1.036,11.221
2026-02-26T00:30:00+00:00,72.249,1.422,0.071,-1.021,11.288
2026-02-26T00:35:00+00:00,71.636,1.418,0.064,-1.006,11.246
2026-02-26T00:40:00+00:00,71.37,1.4,0.071,-1.016,11.22
2026-02-26T00:45:00+00:00,71.996,1.398,0.058,-1.028,11.214
2026-02-26T00:50:00+00:00,72.11,1.408,0.06,-1.014,11.207
2026-02-26T00:55:00+00:00,72.841,1.419,0.058,-1.043,11.2
2026-02-26T01:00:00+00:00,72.174,1.4,0.081,-1.024,11.224
2026-02-26T01:05:00+00:00,71.897,1.404,0.075,-1.023,11.22
2026-02-26T01:10:00+00:00,71.6,1.403,0.07,-1.002,11.224
2026-02-26T01:15:00+00:00,71.048,1.4,0.065,-1.025,11.226
2026-02-26T01:20:00+00:00,70.605,1.402,0.059,-1.032,11.238
2026-02-26T01:25:00+00:00,70.228,1.396,0.054,-1.008,11.246
2026-02-26T01:30:00+00:00,71.853,1.395,0.049,-1.01,11.253
2026-02-26T01:35:00+00:00,71.875,1.388,0.044,-1.006,11.256
2026-02-26T01:40:00+00:00,71.911,1.4,0.039,-1.012,11.264
2026-02-26T01:45:00+00:00,71.682,1.402,0.047,-1.002,11.272
2026-02-26T01:50:00+00:00,70.634,1.386,0.084,-1.007,11.267
2026-02-26T01:55:00+00:00,70.908,1.386,0.074,-1.021,11.272
2026-02-26T02:00:00+00:00,71.217,1.384,0.06,-1.027,11.282
2026-02-26T02:05:00+00:00,70.792,1.389,0.046,-1.002,11.262
2026-02-26T02:10:00+00:00,70.851,1.392,0.043,-0.988,11.242
2026-02-26T02:15:00+00:00,70.366,1.393,0.073,-0.982,11.247
2026-02-26T02:20:00+00:00,70.409,1.384,0.076,-0.978,11.245
2026-02-26T02:25:00+00:00,70.21,1.381,0.062,-0.976,11.256
2026-02-26T02:30:00+00:00,70.801,1.386,0.048,-0.991,11.251
2026-02-26T02:35:00+00:00,71.276,1.393,0.04,-0.992,11.248
2026-02-26T02:40:00+00:00,71.486,1.396,0.04,-0.996,11.265
2026-02-26T02:45:00+00:00,70.276,1.386,0.049,-0.988,11.266
2026-02-26T02:50:00+00:00,70.345,1.396,0.063,-0.987,11.27
2026-02-26T02:55:00+00:00,69.856,1.395,0.079,-0.988,11.265
2026-02-26T03:00:00+00:00,69.99,1.38,0.073,-0.988,11.266
2026-02-26T03:05:00+00:00,70.014,1.391,0.066,-0.992,11.26
2026-02-26T03:10:00+00:00,69.862,1.378,0.067,-0.987,11.249
2026-02-26T03:15:00+00:00,70.334,1.38,0.052,-1.0,11.287
2026-02-26T03:20:00+00:00,69.366,1.386,0.06,-0.958,11.302
2026-02-26T03:25:00+00:00,69.106,1.384,0.066,-0.942,11.32
2026-02-26T03:30:00+00:00,69.536,1.391,0.056,-0.99,11.323
2026-02-26T03:35:00+00:00,69.042,1.39,0.046,-0.994,11.325
2026-02-26T03:40:00+00:00,69.52,1.386,0.05,-0.993,11.328
2026-02-26T03:45:00+00:00,69.408,1.388,0.042,-0.991,11.343
2026-02-26T03:50:00+00:00,69.876,1.38,0.031,-0.998,11.349
2026-02-26T03:55:00+00:00,70.406,1.4,0.054,-0.994,11.354
2026-02-26T04:00:00+00:00,70.338,1.394,0.078,-1.001,11.356
2026-02-26T04:05:00+00:00,70.561,1.383,0.086,-0.992,11.329
2026-02-26T04:10:00+00:00,71.329,1.385,0.059,-0.998,11.313
2026-02-26T04:15:00+00:00,71.764,1.399,0.043,-1.002,11.318
2026-02-26T04:20:00+00:00,71.59,1.4,0.053,-1.006,11.308
2026-02-26T04:25:00+00:00,71.102,1.384,0.045,-0.997,11.314
2026-02-26T04:30:00+00:00,72.23,1.4,0.05,-1.002,11.324
2026-02-26T04:35:00+00:00,72.196,1.404,0.043,-1.022,11.31
2026-02-26T04:40:00+00:00,72.592,1.405,0.031,-1.01,11.324
2026-02-26T04:45:00+00:00,72.034,1.412,0.054,-1.0,11.326
2026-02-26T04:50:00+00:00,71.76,1.403,0.07,-0.995,11.326
2026-02-26T04:55:00+00:00,73.216,1.439,0.063,-1.051,11.349
2026-02-26T05:00:00+00:00,72.979,1.439,0.053,-1.06,11.328
2026-02-26T05:05:00+00:00,73.015,1.432,0.044,-1.054,11.296
2026-02-26T05:10:00+00:00,72.999,1.444,0.05,-1.042,11.298
2026-02-26T05:15:00+00:00,72.721,1.426,0.057,-1.052,11.294
2026-02-26T05:20:00+00:00,74.388,1.442,0.05,-1.08,11.3
2026-02-26T05:25:00+00:00,76.746,1.474,0.043,-1.113,11.302
2026-02-26T05:30:00+00:00,76.807,1.499,0.035,-1.124,11.288
2026-02-26T05:35:00+00:00,77.116,1.49,0.029,-1.144,11.294
2026-02-26T05:40:00+00:00,78.108,1.517,0.051,-1.145,11.292
2026-02-26T05:45:00+00:00,78.493,1.512,0.063,-1.168,11.274
2026-02-26T05:50:00+00:00,78.722,1.544,0.055,-1.2,11.264
2026-02-26T05:55:00+00:00,80.561,1.59,0.036,-1.243,11.27
2026-02-26T06:00:00+00:00,82.726,1.618,0.004,-1.324,11.225
2026-02-26T06:05:00+00:00,83.69,1.616,0.001,-1.317,11.189
2026-02-26T06:10:00+00:00,84.16,1.63,-0.002,-1.332,11.198
2026-02-26T06:15:00+00:00,82.715,1.628,-0.009,-1.291,11.186
